Series Name,Series Code,Country Name,Country Code,2023 [YR2023]
Urban population,SP.URB.TOTL,Afghanistan,AFG,11376460
Urban population,SP.URB.TOTL,Albania,ALB,1773980
Urban population,SP.URB.TOTL,Algeria,DZA,34327085
Urban population,SP.URB.TOTL,American Samoa,ASM,38308
Urban population,SP.URB.TOTL,Andorra,AND,70296
Urban population,SP.URB.TOTL,Angola,AGO,25197645
Urban population,SP.URB.TOTL,Antigua and Barbuda,ATG,22945
Urban population,SP.URB.TOTL,Argentina,ARG,43138225
Urban population,SP.URB.TOTL,Armenia,ARM,1770650
Urban population,SP.URB.TOTL,Aruba,ABW,47032
Urban population,SP.URB.TOTL,Australia,AUS,23073508
Urban population,SP.URB.TOTL,Austria,AUT,5436508
Urban population,SP.URB.TOTL,Azerbaijan,AZE,5822506
Urban population,SP.URB.TOTL,"Bahamas, The",BHS,345056
Urban population,SP.URB.TOTL,Bahrain,BHR,1335012
Urban population,SP.URB.TOTL,Bangladesh,BGD,69999802
Urban population,SP.URB.TOTL,Barbados,BRB,88617
Urban population,SP.URB.TOTL,Belarus,BLR,7409732
Urban population,SP.URB.TOTL,Belgium,BEL,11608485
Urban population,SP.URB.TOTL,Belize,BLZ,191477
Urban population,SP.URB.TOTL,Benin,BEN,6870127
Urban population,SP.URB.TOTL,Bermuda,BMU,63489
Urban population,SP.URB.TOTL,Bhutan,BTN,349223
Urban population,SP.URB.TOTL,Bolivia,BOL,8818928
Urban population,SP.URB.TOTL,Bosnia and Herzegovina,BIH,1614061
Urban population,SP.URB.TOTL,Botswana,BWA,1949449
Urban population,SP.URB.TOTL,Brazil,BRA,189992937
Urban population,SP.URB.TOTL,British Virgin Islands,VGB,15690
Urban population,SP.URB.TOTL,Brunei Darussalam,BRN,358168
Urban population,SP.URB.TOTL,Bulgaria,BGR,4932158
Urban population,SP.URB.TOTL,Burkina Faso,BFA,7561383
Urban population,SP.URB.TOTL,Burundi,BDI,1957189
Urban population,SP.URB.TOTL,Cabo Verde,CPV,406996
Urban population,SP.URB.TOTL,Cambodia,KHM,4332792
Urban population,SP.URB.TOTL,Cameroon,CMR,16992142
Urban population,SP.URB.TOTL,Canada,CAN,32824829
Urban population,SP.URB.TOTL,Cayman Islands,CYM,69310
Urban population,SP.URB.TOTL,Central African Republic,CAF,2504453
